# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       4.181        0.000       64.734      343.688
       4.187        0.000       64.734      343.688
       4.194        0.000       64.734      343.688
       4.200        0.000       64.734      343.688
       4.207        0.000       64.734      343.688
       4.214      139.600       64.734      343.688
       4.221        0.000       64.734      343.688
       4.227        0.000       64.734      343.688
       4.234        0.000       64.734      343.688
       4.240        0.000       64.734      343.688
       4.247        0.000       64.734      343.688
       4.253        0.000       64.734      343.688
       4.260        0.000       64.734      343.688
       4.267        0.000       64.734      343.688
       4.273        0.000       64.734      343.688
       4.279        0.000       64.734      343.688
       4.285        0.000       64.734      343.688
       4.292        0.000       64.734      343.688
       4.298        0.000       64.734      343.688
       4.304        0.000       64.734      343.688
       4.310        0.000       64.734      343.688
       4.317        0.000       64.734      343.688
       4.323        0.000       64.734      343.688
       4.329        0.000       64.734      343.688
       4.336        0.000       64.734      343.688
       4.343        0.000       64.734      343.688
       4.350        0.000       64.734      343.688
       4.356        0.000       64.734      343.688
       4.364        0.000       64.734      343.688
       4.371      136.500       64.734      343.688
       4.378        0.000       64.734      343.688
       4.384        0.000       64.734      343.688
       4.391        0.000       64.734      343.688
       4.399        0.000       64.734      343.688
       4.407        0.000       64.734      343.688
       4.414        0.000       64.734      343.688
       4.422        0.000       64.734      343.688
       4.431        0.000       64.734      343.688
       4.439        0.000       64.734      343.688
       4.446        0.000       64.734      343.688
       4.452        0.000       64.734      343.688
       4.459        0.000       64.734      343.688
       4.465        0.000       64.734      343.688
       4.473        0.000       64.734      343.688
       4.480        0.000       64.734      343.688
       4.487        0.000       64.734      343.688
       4.494        0.000       64.734      343.688
       4.500        0.000       64.734      343.688
       4.507        0.000       64.734      343.688
       4.513        0.000       64.734      343.688
       4.520      143.000       64.734      343.688
       4.527        0.000       64.734      343.688
       4.533        0.000       64.734      343.688
       4.539        0.000       64.734      343.688
       4.546        0.000       64.734      343.688
       4.552        0.000       64.734      343.688
       4.559        0.000       64.734      343.688
       4.565        0.000       64.734      343.688
       4.571        0.000       64.734      343.688
       4.578        0.000       64.734      343.688
       4.585        0.000       64.734      343.688
       4.591        0.000       64.734      343.688
       4.598        0.000       64.734      343.688
       4.605        0.000       64.734      343.688
       4.612        0.000       64.734      343.688
       4.619        0.000       64.734      343.688
       4.626        0.000       64.734      343.688
       4.633      143.300       64.734      343.688
       4.640      145.800       64.734      343.688
       4.648        0.000       64.734      343.688
       4.656        0.000       64.734      343.688
       4.664        0.000       64.734      343.688
       4.670        0.000       64.734      343.688
       4.677      141.900       64.734      343.688
       4.685        0.000       64.734      343.688
       4.691        0.000       64.734      343.688
       4.698      148.500       64.734      343.688
       4.706        0.000       64.734      343.688
       4.712        0.000       64.734      343.688
       4.719        0.000       64.734      343.688
       4.726        0.000       64.734      343.688
       4.733      147.100       64.734      343.688
       4.740        0.000       64.734      343.688
       4.747      141.100       64.734      343.688
       4.754      149.400       64.734      343.938
       4.761        0.000       64.898      343.938
       4.767      149.100       64.898      343.938
       4.774      151.100       64.898      343.938
       4.781        0.000       64.898      343.938
       4.788      137.100       64.898      343.938
       4.795      143.100       64.898      343.938
       4.802      147.800       64.898      343.938
       4.808        0.000       64.898      343.938
       4.815        0.000       64.898      343.938
       4.822        0.000       64.898      343.938
       4.829        0.000       64.898      343.938
       4.835        0.000       65.012      343.938
       4.843      136.600       65.012      343.938
       4.850        0.000       65.012      343.938
       4.857      139.700       65.012      343.938
       4.864        0.000       65.012      343.938
       4.871        0.000       65.055      343.938
       4.878        0.000       65.055      343.938
       4.884      151.800       65.055      344.188
       4.891        0.000       65.230      344.188
       4.898        0.000       65.230      344.188
       4.906      136.900       65.352      344.438
       4.913        0.000       65.352      344.438
       4.922        0.000       65.410      349.828
       4.930        0.000       65.414      349.828
       4.937        0.000       65.414      349.828
       4.945        0.000       65.414      349.828
       4.955        0.000       65.898      349.828
       4.965        0.000       65.898      349.828
       4.972        0.000       65.898      349.828
       4.980      135.800       66.820      350.465
       4.987        0.000       67.422      350.465
       4.996        0.000       67.844      350.465
       5.003        0.000       67.844      350.465
       5.014       98.400       68.035      350.465
       5.020        0.000       68.035      350.465
       5.030        0.000       68.035      350.465
       5.039        0.000       68.035      350.465
       5.046        0.000       68.035      350.465
       5.055        0.000       68.105      350.465
       5.062        0.000       68.105      350.465
       5.070        0.000       68.105      350.465
       5.081       95.000       68.219      350.715
       5.090        0.000       68.219      350.715
       5.098        0.000       68.219      350.715
       5.107        0.000       68.219      350.715
       5.116        0.000       68.219      350.715
       5.124        0.000       68.383      350.715
       5.132      122.000       68.816      351.125
       5.142        0.000       68.816      351.125
       5.151        0.000       68.816      351.125
       5.161        0.000       68.977      351.375
       5.171       97.600       68.977      351.527
       5.181        0.000       69.281      351.777
       5.191        0.000       69.281      351.777
       5.199      123.000       69.281      351.777
       5.206        0.000       69.281      351.777
       5.213        0.000       69.449      351.777
       5.220        0.000       69.449      351.777
       5.228        0.000       69.469      351.801
       5.235        0.000       69.469      351.801
       5.242        0.000       69.469      351.801
       5.249        0.000       69.469      352.211
       5.257      135.800       69.777      352.211
       5.264        0.000       69.777      352.211
       5.270        0.000       69.777      352.211
       5.277        0.000       69.957      352.266
       5.285        0.000       69.957      352.266
       5.292        0.000       69.957      352.266
       5.299      136.300       70.090      352.516
       5.306        0.000       70.090      352.516
       5.313        0.000       70.090      352.652
       5.319        0.000       70.090      352.652
       5.326        0.000       70.090      352.652
       5.333        0.000       70.090      352.652
       5.340        0.000       70.090      352.652
       5.347        0.000       70.285      352.652
       5.354      142.100       70.445      352.902
       5.361        0.000       70.445      352.902
       5.368        0.000       70.445      352.902
       5.375        0.000       70.445      352.902
       5.382        0.000       70.609      352.902
       5.389        0.000       70.609      352.902
       5.396        0.000       70.609      352.902
       5.403      142.700       70.609      353.152
       5.409        0.000       70.609      353.152
       5.416        0.000       70.609      353.152
       5.422        0.000       70.609      353.152
       5.429        0.000       70.609      353.305
       5.435        0.000       70.609      353.305
       5.442        0.000       70.844      353.305
       5.449        0.000       70.844      353.305
       5.456        0.000       70.844      353.305
       5.462        0.000       70.844      353.305
       5.471        0.000       70.844      353.305
       5.481      102.400       71.074      353.305
       5.489        0.000       71.074      353.555
       5.496      136.000       71.320      353.703
       5.504      127.700       71.746      354.090
       5.511        0.000       71.746      354.219
       5.518        0.000       71.746      354.219
       5.524        0.000       71.746      354.219
       5.530        0.000       71.746      354.219
       5.537        0.000       71.746      354.219
       5.543        0.000       71.746      354.219
       5.549        0.000       71.746      354.219
       5.555        0.000       71.746      354.219
       5.562        0.000       71.746      354.219
       5.569        0.000       71.746      354.219
       5.576        0.000       71.973      354.469
       5.584      258.600       72.141      354.469
       5.590        0.000       72.141      354.469
       5.597        0.000       72.367      354.863
       5.603        0.000       72.367      354.863
       5.610        0.000       72.367      354.863
       5.616        0.000       72.367      354.863
       5.623        0.000       72.367      354.863
       5.629        0.000       72.367      354.863
       5.636        0.000       72.367      354.863
       5.645        0.000       72.789      355.324
       5.652        0.000       72.789      355.324
       5.659        0.000       72.789      355.324
       5.666        0.000       72.789      355.324
       5.673        0.000       72.949      355.324
       5.679        0.000       72.949      355.324
       5.686      143.800       72.949      355.574
       5.693        0.000       72.949      355.574
       5.700        0.000       72.949      355.574
       5.706        0.000       72.949      355.574
       5.713        0.000       72.949      355.574
       5.720        0.000       72.949      355.574
       5.727        0.000       72.949      355.574
       5.733        0.000       72.949      355.574
       5.739        0.000       72.949      355.574
       5.745        0.000       72.949      355.574
       5.752        0.000       73.164      355.574
       5.758        0.000       73.164      355.574
       5.764        0.000       73.164      355.574
       5.770        0.000       73.164      355.574
       5.778        0.000       73.164      355.574
       5.784        0.000       73.164      355.574
       5.790      161.700       73.164      355.574
       5.796        0.000       73.164      355.574
       5.802        0.000       73.164      355.574
       5.809        0.000       73.164      355.824
       5.815        0.000       73.164      355.824
       5.821        0.000       73.164      355.824
       5.828        0.000       73.164      355.824
       5.834        0.000       73.402      355.824
       5.840        0.000       73.402      355.824
       5.846        0.000       73.402      355.824
       5.853        0.000       73.402      355.824
       5.859        0.000       73.402      355.824
       5.866        0.000       73.402      355.824
       5.875      113.900       73.648      355.824
       5.881        0.000       73.648      356.273
       5.887        0.000       73.648      356.273
       5.894        0.000       73.648      356.273
       5.902      115.600       73.898      356.523
       5.909        0.000       74.141      356.523
       5.916        0.000       74.141      356.660
       5.922        0.000       74.141      356.660
       5.929        0.000       74.625      357.160
       5.937      138.700       74.883      357.410
       5.943      146.100       75.137      357.660
       5.951        0.000       75.629      358.039
       5.958      132.500       75.883      358.418
       5.965        0.000       75.883      358.418
       5.973      132.600       76.125      358.418
       5.980        0.000       76.371      358.797
       5.988      131.300       76.629      359.211
       5.997      112.600       76.883      359.211
       6.007       97.300       76.883      359.461
       6.014        0.000       76.883      359.461
       6.021        0.000       76.883      359.461
       6.028        0.000       76.883      359.461
       6.036        0.000       77.352      359.711
       6.043        0.000       77.352      359.711
       6.050        0.000       77.352      359.711
       6.057        0.000       77.352      359.711
       6.064        0.000       77.352      359.711
       6.070        0.000       77.352      359.711
       6.077        0.000       77.352      359.711
       6.085        0.000       77.352      359.711
       6.091        0.000       77.352      359.711
       6.098        0.000       77.352      359.711
       6.105        0.000       77.352      359.711
       6.112        0.000       77.352      359.711
       6.118        0.000       77.352      359.711
       6.125      148.700       77.352      359.711
       6.132        0.000       77.352      359.961
       6.139        0.000       77.582      360.102
       6.146        0.000       77.582      360.102
